timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit;startup count;harge profile
209984.262;;0.016;;;;;;;;;;;;
209987.262;;0.015;;;;;;;;;;;;
209990.262;;0.016;;;;;;;;;;;;
209993.262;;0.017;;;;;;;;;;;;
209996.262;;0.016;;;;;;;;;;;;
209999.262;;0.016;;;;;;;;;;;;
210002.262;;0.016;;;;;;;;;;;;
210005.262;;0.016;;;;;;;;;;;;
210008.262;;0.016;;;;;;;;;;;;
210011.262;;0.016;;;;;;;;;;;;
210014.262;;0.016;;;;;;;;;;;;
210017.262;;0.016;;;;;;;;;;;;
210020.262;;0.016;;;;;;;;;;;;
210023.262;;0.016;;;;;;;;;;;;
210026.262;;0.016;;;;;;;;;;;;
210029.262;;0.015;;;;;;;;;;;;
210032.262;;0.015;;;;;;;;;;;;
210035.262;;1.021;;;;;;;;;;;;
210038.262;;1.013;;;;;;;;;;;;
210041.262;;1.017;;;;;;;;;;;;
210044.262;;1.016;;;;;;;;;;;;
210047.262;;1.011;;;;;;;;;;;;
210050.262;;1.012;;;;;;;;;;;;
210053.262;;1.013;;;;;;;;;;;;
210056.262;;0.967;;;;;;;;;;;;
210059.262;;0.960;;;;;;;;;;;;
210062.262;;0.956;;;;;;;;;;;;
210065.262;;0.954;;;;;;;;;;;;
210068.262;;0.946;;;;;;;;;;;;
210071.262;;0.955;;;;;;;;;;;;
210074.262;;0.469;;;;;;;;;;;;
210077.262;;0.928;;;;;;;;;;;;
210080.262;;0.925;;;;;;;;;;;;
210083.262;;0.918;;;;;;;;;;;;
210086.262;;0.916;;;;;;;;;;;;
210089.262;;0.915;;;;;;;;;;;;
210092.262;;0.906;;;;;;;;;;;;
210095.262;;0.906;;;;;;;;;;;;
210098.262;;0.895;;;;;;;;;;;;
210101.262;;0.894;;;;;;;;;;;;
210104.262;;0.891;;;;;;;;;;;;
210107.262;;0.888;;;;;;;;;;;;
210162;;0.853;;;;;;;;;;;;
210125.262;;0.890;;;;;;;;;;;;
210128.262;;0.864;;;;;;;;;;;;
210131.262;;0.863;;;;;;;;;;;;
210134.262;;62;;0.853;;;;;;;;;;;;
210125.262;;0.890;;;;;;;;;;;;
210128.262;;0.864;;;;;;;;;;;;
210131.262;;0.863;;;;;;;;;;;;
210134.262;;0.863;;;;;;;;;;;;
210166.566;1678;0.000;4.99;57;1935378;0;4;25304;32.9;0;1;-1;0;0
210166.981;1678;0.874;4.99;57;1935379;0;4;254;29367;30.9;0;1;-1;0;0
216338.265;1678;0.016;5.16;54;1935379;0;4;31505;30.9;0;1;-1;0;0
218466.268;1678;0.016;5.16;53;1935379;4;29367;30.9;0;1;-1;0;0
216338.265;1678;0.016;5.16;54;1935379;0;4;31505;30.9;0;1;-1;0;0
218466.268;1678;0.016;5.16;53;1935379;4;29367;30.9;0;1;-1;0;0
216338.265;1678;0.016;5.16;54;1935379;0;4;31505;30.9;0;1;-1;0;0
218466.268;1678;0.016;5.16;53;1935379;0;4;33633;30.9;0;1;-1;0;0
220623.266;1678;0.016;5.15;52;1935379;0;4;35790;30.9;0;1;-1;0;0
