timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit;startup count;harge profile
9477.965;;1.064;;;;;;;;;;;;
9496.965;;1.052;;;;;;;;;;;;
9507.965;;1.069;;;;;;;;;;;;
9548.965;4239;1.077;5.12;59;705689;1;0;0;29.8;0;7;85
9597.965;;1.059;;;;;;;;;;;;
9623.963;;1.044;;;;;;;;;;;;
9634.963;;1.062;;;;;;;;;;;;
9646.963;;1.047;;;;;;;;;;;;
9658.965;;1.062;;;;;;;;;;;;
9755.963;;1.050;;;;;;;;;;;;
9768.963;;1.061;;;;;;;;;;;;
9847.963;;1.048;;;;;;;;;;;;
9859.965;;1.030;;;;;;;;;;;;
9868.963;4239;1.057;5.12;60;706171;1;0;0;29.8;0;7;85
10033.966;;1.040;;;;;;;;;;;;
10044.963;;1.063;;;;;;;;;;;;
10070.963;;1.046;;;;;;;;;;;;
10081.965;;1.058;;;;;;;;;;;;
10164.965;4239;1.060;5.12;61;706615;1;0;0;29.8;0;7;85
10256.965;;1.048;;;;;;;;;;;;
10268.963;;1.061;;;;;;;;;;;;
10279.966;;1.049;;;;;;;;;;;;
10290.963;;1.065;;;;;;;;;;;;
10310.965;;1.077;;;;;;;;;;;;
10321.965;;1.065;;;;;;;;;;;;
10335.965;;1.080;;;;;;;;;;;;
10370.963;;1.091;;;;;;;;;;;;
10382.963;;1.071;;;;;;;;;;;;
10393.965;;1.085;;;;;;;;;;;;
10420.963;;1.069;;;;;;;;;;;;
10431.965;;1.083;;;;;;;;;;;;
10450.965;;1.067;;;;;;;;;;;;
10461.963;;1.083;;;;;;;;;;;;
10472.963;;1.058;;;;;;;;;;;;
10501.963;4239;1.057;5.11;62;707125;1;0;0;30.8;0;7;85
10610.963;4239;0.426;5.20;62;707288;1;0;0;30.8;0;7;85
10618.963;4239;1.018;5.12;62;707294;1;0;0;30.8;0;7;85
10619.965;4239;0.080;5.26;62;707296;1;0;0;30.8;0;7;85
10620.963;4239;0.005;8.54;62;707296;1;0;0;30.8;0;7;85
10624.965;4239;0.734;8.70;62;707300;1;0;0;30.8;0;7;85
